"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AOPEP.2",0.000345370917775335,-0.427219448867412,0.148,0.268,1,"5","AOPEP"
"MTHFD1L.4",0.00034761573413242,-0.681475415754391,0.076,0.166,1,"5","MTHFD1L"
"IFITM3.2",0.000351238951556365,-2.27631798304786,0.008,0.061,1,"5","IFITM3"
"STK17A.1",0.000352548721970432,-3.12216103760843,0.004,0.054,1,"5","STK17A"
"MTCH1.2",0.000352735147606307,-1.87546814915865,0.023,0.085,1,"5","MTCH1"
"LINC02250",0.000359855599182245,3.17714083833107,0.015,0.003,1,"5","LINC02250"
"ACOX2",0.000360429623244933,2.91056716848399,0.015,0.003,1,"5","ACOX2"
"PMP22.1",0.000363257774378362,-2.97477239173121,0.004,0.053,1,"5","PMP22"
"E2F3.3",0.000368749818115132,-2.45979500408107,0.004,0.053,1,"5","E2F3"
"ARIH1",0.000371591200701769,-0.435712555125491,0.152,0.269,1,"5","ARIH1"
"EIF4A1.3",0.000372019314147819,-3.16587809951642,0.004,0.053,1,"5","EIF4A1"
"TSPAN18.3",0.000372759884396408,1.18274529417291,0.182,0.121,1,"5","TSPAN18"
"LYN.2",0.000374783565961876,-7.14282063314013,0,0.046,1,"5","LYN"
"SLC2A13.2",0.000375785617558501,-1.66796421244539,0.015,0.073,1,"5","SLC2A13"
"HP1BP3",0.000377085367161916,-0.715639962366746,0.064,0.149,1,"5","HP1BP3"
"GNB4.1",0.000378228407657222,-0.554512571749408,0.068,0.155,1,"5","GNB4"
"PDCD6IP",0.000378341587452284,-0.514705127365015,0.098,0.198,1,"5","PDCD6IP"
"CEP85L.1",0.000382354824605811,-0.574386550392364,0.095,0.191,1,"5","CEP85L"
"CACNA1C.2",0.000386226652586813,-7.49795801671393,0,0.046,1,"5","CACNA1C"
"CLDN5.4",0.000386710799334465,-0.606463108931565,0.091,0.185,1,"5","CLDN5"
"SGMS1.1",0.000393427493549438,-0.461678432122893,0.083,0.178,1,"5","SGMS1"
"LAMA5.1",0.000396839132972028,-0.683776486728961,0.076,0.164,1,"5","LAMA5"
"EEF1A1.4",0.000398017821174957,-7.25874313299636,0,0.045,1,"5","EEF1A1"
"ATF4.4",0.000398017821174957,-7.3282474062824,0,0.045,1,"5","ATF4"
"ATAD2B.1",0.000405335246848514,-0.650341290170089,0.087,0.179,1,"5","ATAD2B"
"IGF2BP2",0.000405677684809299,-0.601070556837841,0.083,0.175,1,"5","IGF2BP2"
"HNRNPM",0.000412863202136886,-0.623305975371244,0.08,0.169,1,"5","HNRNPM"
"BCL6.1",0.000412899771769439,-2.34466407447455,0.008,0.06,1,"5","BCL6"
"FRMD3.1",0.000413598010789375,-2.73889480845456,0.004,0.053,1,"5","FRMD3"
"SLC20A1.1",0.000415028674761615,-1.43533689956675,0.034,0.101,1,"5","SLC20A1"
